,db_id,original_sql,rewritten_sql,activated_rules,original_logical_plan
0,tpch,"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and p_size = 20 and p_type like '%COPPER' and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'AMERICA' and ps_supplycost = ( select min(ps_supplycost) from partsupp, supplier, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'AMERICA' ) order by s_acctbal desc, n_name, s_name, p_partkey;","SELECT t1619.s_acctbal, t1619.s_name, t1619.n_name, t1619.p_partkey, t1619.p_mfgr, t1619.s_address, t1619.s_phone, t1619.s_comment FROM (SELECT t1605.p_partkey, t1605.p_name, t1605.p_mfgr, t1605.p_brand, t1605.p_type, t1605.p_size, t1605.p_container, t1605.p_retailprice, t1605.p_comment, t1605.s_suppkey, t1605.s_name, t1605.s_address, t1605.s_nationkey, t1605.s_phone, t1605.s_acctbal, t1605.s_comment, t1605.ps_partkey, t1605.ps_suppkey, t1605.ps_availqty, t1605.ps_supplycost, t1605.ps_comment, t1605.n_nationkey, t1605.n_name, t1605.n_regionkey, t1605.n_comment, t1605.r_regionkey, t1605.r_name, t1605.r_comment, CAST(t1616.ps_partkey AS INTEGER) AS ps_partkey0, CAST(t1616.EXPR0 AS DECIMAL(19, 0)) AS EXPR0 FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM part WHERE p_size = 20 AND p_type LIKE '%COPPER') AS t1601, supplier AS supplier201, partsupp AS partsupp201 WHERE t1601.p_partkey = partsupp201.ps_partkey AND supplier201.s_suppkey = partsupp201.ps_suppkey) AS t1602, nation AS nation201 WHERE t1602.s_nationkey = nation201.n_nationkey) AS t1603, (SELECT * FROM region WHERE r_name = 'AMERICA') AS t1604 WHERE t1603.n_regionkey = t1604.r_regionkey) AS t1605, (SELECT t1612.ps_partkey, MIN(t1612.EXPR0) AS EXPR0 FROM (SELECT t1609.ps_partkey, t1610.n_regionkey, MIN(t1609.EXPR0) AS EXPR0 FROM (SELECT t1606.ps_partkey, t1607.s_nationkey, MIN(t1606.EXPR0) AS EXPR0 FROM (SELECT ps_partkey, ps_suppkey, MIN(ps_supplycost) AS EXPR0 FROM partsupp GROUP BY ps_partkey, ps_suppkey) AS t1606, (SELECT s_suppkey, s_nationkey FROM supplier GROUP BY s_suppkey, s_nationkey) AS t1607 WHERE t1607.s_suppkey = t1606.ps_suppkey GROUP BY t1606.ps_partkey, t1607.s_nationkey) AS t1609, (SELECT n_nationkey, n_regionkey FROM nation GROUP BY n_nationkey, n_regionkey) AS t1610 WHERE t1609.s_nationkey = t1610.n_nationkey GROUP BY t1609.ps_partkey, t1610.n_regionkey) AS t1612, (SELECT r_regionkey FROM region WHERE r_name = 'AMERICA' GROUP BY r_regionkey) AS t1614 WHERE t1612.n_regionkey = t1614.r_regionkey GROUP BY t1612.ps_partkey) AS t1616 WHERE t1605.p_partkey = t1616.ps_partkey AND t1605.ps_supplycost = t1616.EXPR0 ORDER BY t1605.s_acctbal DESC, t1605.n_name, t1605.s_name, t1605.p_partkey) AS t1619",['Empty List'],"['LogicalSort', ['LogicalProject', ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalFilter', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalFilter', 'LogicalTableScan']], ['LogicalAggregate', ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalFilter', 'LogicalTableScan']]]]]]]]"
1,tpch,"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'MACHINERY' and c_custkey = o_custkey and l_orderkey = o_orderkey and o_orderdate < date '1995-03-07' and l_shipdate > date '1995-03-07' group by l_orderkey, o_orderdate, o_shippriority order by revenue desc, o_orderdate;","SELECT t1.l_orderkey, SUM(t1.l_extendedprice * (1 - t1.l_discount)) AS revenue, t0.o_orderdate, t0.o_shippriority FROM (SELECT * FROM customer WHERE c_mktsegment = 'MACHINERY') AS t INNER JOIN (SELECT * FROM orders WHERE o_orderdate < DATE '1995-03-07') AS t0 ON t.c_custkey = t0.o_custkey INNER JOIN (SELECT * FROM lineitem WHERE l_shipdate > DATE '1995-03-07') AS t1 ON t0.o_orderkey = t1.l_orderkey GROUP BY t1.l_orderkey, t0.o_orderdate, t0.o_shippriority ORDER BY SUM(t1.l_extendedprice * (1 - t1.l_discount)) DESC, t0.o_orderdate;",['Empty List'],"['LogicalSort', ['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]]]]"
2,tpch,"select n_name, sum(l_extendedprice * (1 - l_discount)) as revenue from customer, orders, lineitem, supplier, nation, region where c_custkey = o_custkey and l_orderkey = o_orderkey and l_suppkey = s_suppkey and c_nationkey = s_nationkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'EUROPE' and o_orderdate >= date '1994-01-01' and o_orderdate < date '1994-01-01' + interval '1' year group by n_name order by revenue desc;","SELECT nation.n_name, SUM(lineitem.l_extendedprice * (1 - lineitem.l_discount)) AS revenue FROM customer INNER JOIN (SELECT * FROM orders WHERE o_orderdate >= DATE '1994-01-01' AND o_orderdate < (DATE '1994-01-01' + INTERVAL '1' YEAR)) AS t ON customer.c_custkey = t.o_custkey INNER JOIN lineitem ON t.o_orderkey = lineitem.l_orderkey INNER JOIN supplier ON lineitem.l_suppkey = supplier.s_suppkey AND customer.c_nationkey = supplier.s_nationkey INNER JOIN nation ON supplier.s_nationkey = nation.n_nationkey INNER JOIN (SELECT * FROM region WHERE r_name = 'EUROPE') AS t0 ON nation.n_regionkey = t0.r_regionkey GROUP BY nation.n_name ORDER BY SUM(lineitem.l_extendedprice * (1 - lineitem.l_discount)) DESC;",['Empty List'],"['LogicalSort', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]]"
3,tpch,"select o_year, sum(case when nation = 'ROMANIA' then volume else 0 end) / sum(volume) as mkt_share from ( select extract(year from o_orderdate) as o_year, l_extendedprice * (1 - l_discount) as volume, n2.n_name as nation from part, supplier, lineitem, orders, customer, nation n1, nation n2, region where p_partkey = l_partkey and s_suppkey = l_suppkey and l_orderkey = o_orderkey and o_custkey = c_custkey and c_nationkey = n1.n_nationkey and n1.n_regionkey = r_regionkey and r_name = 'EUROPE' and s_nationkey = n2.n_nationkey and o_orderdate between date '1995-01-01' and date '1996-12-31' and p_type = 'LARGE POLISHED STEEL' ) as all_nations group by o_year order by o_year;","SELECT EXTRACT(YEAR FROM t940.o_orderdate) AS o_year, SUM(CASE WHEN CAST(t940.n_name0 AS CHAR(7)) = 'ROMANIA' THEN t940.l_extendedprice * (1 - t940.l_discount) ELSE 0 END) / SUM(t940.l_extendedprice * (1 - t940.l_discount)) AS mkt_share FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM part WHERE p_type = 'LARGE POLISHED STEEL') AS t934, supplier AS supplier102, lineitem AS lineitem102 WHERE t934.p_partkey = lineitem102.l_partkey AND supplier102.s_suppkey = lineitem102.l_suppkey) AS t935, (SELECT * FROM orders WHERE o_orderdate >= DATE '1995-01-01' AND o_orderdate <= DATE '1996-12-31') AS t936 WHERE t935.l_orderkey = t936.o_orderkey) AS t937, customer AS customer102 WHERE t937.o_custkey = customer102.c_custkey) AS t938, nation AS nation205 WHERE t938.c_nationkey = nation205.n_nationkey) AS t939, nation AS nation206 WHERE t939.s_nationkey = nation206.n_nationkey) AS t940, (SELECT * FROM region WHERE r_name = 'EUROPE') AS t941 WHERE t940.n_regionkey = t941.r_regionkey GROUP BY EXTRACT(YEAR FROM t940.o_orderdate) ORDER BY EXTRACT(YEAR FROM t940.o_orderdate)",['Empty List'],"['LogicalSort', ['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]]]"
4,tpch,"select nation, o_year, sum(amount) as sum_profit from ( select n_name as nation, extract(year from o_orderdate) as o_year, l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount from part, supplier, lineitem, partsupp, orders, nation where s_suppkey = l_suppkey and ps_suppkey = l_suppkey and ps_partkey = l_partkey and p_partkey = l_partkey and o_orderkey = l_orderkey and s_nationkey = n_nationkey and p_name like '%olive%' ) as profit group by nation, o_year order by nation, o_year desc;","SELECT nation100.n_name AS nation, EXTRACT(YEAR FROM orders100.o_orderdate) AS o_year, SUM(lineitem100.l_extendedprice * (1 - lineitem100.l_discount) - partsupp100.ps_supplycost * lineitem100.l_quantity) AS sum_profit FROM (SELECT * FROM part WHERE p_name LIKE '%olive%') AS t591 CROSS JOIN supplier AS supplier100 INNER JOIN lineitem AS lineitem100 ON supplier100.s_suppkey = lineitem100.l_suppkey AND t591.p_partkey = lineitem100.l_partkey INNER JOIN partsupp AS partsupp100 ON lineitem100.l_suppkey = partsupp100.ps_suppkey AND lineitem100.l_partkey = partsupp100.ps_partkey INNER JOIN orders AS orders100 ON lineitem100.l_orderkey = orders100.o_orderkey INNER JOIN nation AS nation100 ON supplier100.s_nationkey = nation100.n_nationkey GROUP BY nation100.n_name, EXTRACT(YEAR FROM orders100.o_orderdate) ORDER BY nation100.n_name, EXTRACT(YEAR FROM orders100.o_orderdate) DESC",['Empty List'],"['LogicalSort', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]]"
5,tpch,"select c_custkey, c_name, sum(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address, c_phone, c_comment from customer, orders, lineitem, nation where c_custkey = o_custkey and l_orderkey = o_orderkey and o_orderdate >= date '1993-10-01' and o_orderdate < date '1993-10-01' + interval '3' month and l_returnflag = 'R' and c_nationkey = n_nationkey group by c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment order by revenue desc;","SELECT t742.c_custkey, t742.c_name, SUM(t742.l_extendedprice * (1 - t742.l_discount)) AS revenue, t742.c_acctbal, nation100.n_name, t742.c_address, t742.c_phone, t742.c_comment FROM (SELECT * FROM (SELECT * FROM customer AS customer100, (SELECT * FROM orders WHERE o_orderdate >= DATE '1993-10-01' AND o_orderdate < (DATE '1993-10-01' + INTERVAL '3' MONTH)) AS t739 WHERE customer100.c_custkey = t739.o_custkey) AS t740, (SELECT * FROM lineitem WHERE l_returnflag = 'R') AS t741 WHERE t741.l_orderkey = t740.o_orderkey) AS t742, nation AS nation100 WHERE t742.c_nationkey = nation100.n_nationkey GROUP BY t742.c_custkey, t742.c_name, t742.c_acctbal, t742.c_phone, nation100.n_name, t742.c_address, t742.c_comment ORDER BY SUM(t742.l_extendedprice * (1 - t742.l_discount)) DESC",['Empty List'],"['LogicalSort', ['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']]]]]]]"
6,tpch,"select c_name, c_custkey, o_orderkey, o_orderdate, o_totalprice, sum(l_quantity) from customer, orders, lineitem where o_orderkey in ( select l_orderkey from lineitem group by l_orderkey having sum(l_quantity) > 313 ) and c_custkey = o_custkey and o_orderkey = l_orderkey group by c_name, c_custkey, o_orderkey, o_orderdate, o_totalprice order by o_totalprice desc, o_orderdate;","SELECT t95.c_name, t95.c_custkey, t95.o_orderkey, t95.o_orderdate, t95.o_totalprice, t95.f8 FROM (SELECT t93.c_custkey, t93.c_name, t93.o_orderkey, t93.o_totalprice, t93.o_orderdate, t93.f8 * t94.EXPR5 AS f8 FROM (SELECT t91.c_custkey, t91.c_name, t92.o_orderkey, t92.o_totalprice, t92.o_orderdate, t91.f2 * t92.f4 AS f8 FROM (SELECT c_custkey, c_name, COUNT(*) AS f2 FROM customer GROUP BY c_custkey, c_name) AS t91 INNER JOIN (SELECT o_orderkey, o_custkey, o_totalprice, o_orderdate, COUNT(*) AS f4 FROM orders GROUP BY o_orderkey, o_custkey, o_totalprice, o_orderdate) AS t92 ON t91.c_custkey = t92.o_custkey) AS t93 INNER JOIN (SELECT l_orderkey, SUM(l_quantity) AS EXPR5 FROM lineitem GROUP BY l_orderkey) AS t94 ON t93.o_orderkey = t94.l_orderkey) AS t95 INNER JOIN (SELECT l_orderkey FROM lineitem GROUP BY l_orderkey HAVING SUM(l_quantity) > 313) AS t98 ON t95.o_orderkey = t98.l_orderkey ORDER BY t95.o_totalprice DESC, t95.o_orderdate",['Empty List'],"['LogicalSort', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalProject', ['LogicalFilter', ['LogicalAggregate', 'LogicalProject', 'LogicalTableScan']]]]]]]]"
7,tpch,"select s_name, count(*) as numwait from supplier, lineitem l1, orders, nation where s_suppkey = l1.l_suppkey and o_orderkey = l1.l_orderkey and o_orderstatus = 'F' and l1.l_receiptdate > l1.l_commitdate and exists ( select * from lineitem l2 where l2.l_orderkey = l1.l_orderkey and l2.l_suppkey <> l1.l_suppkey ) and not exists ( select * from lineitem l3 where l3.l_orderkey = l1.l_orderkey and l3.l_suppkey <> l1.l_suppkey and l3.l_receiptdate > l3.l_commitdate ) and s_nationkey = n_nationkey and n_name = 'MOROCCO' group by s_name order by numwait desc, s_name;",,['Empty List'],"['LogicalSort', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalFilter', ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalProject', ['LogicalJoin', ['LogicalTableScan'], ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']]]]]]]], ['LogicalProject', ['LogicalJoin', ['LogicalFilter', 'LogicalTableScan'], ['LogicalProject', ['LogicalFilter', ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalProject', ['LogicalJoin', ['LogicalTableScan'], ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']]]]]]]]]]]]]]]]"
8,tpch,"select cntrycode, count(*) as numcust, sum(c_acctbal) as totacctbal from ( select substring(c_phone from 1 for 2) as cntrycode, c_acctbal from customer where substring(c_phone from 1 for 2) in ('33', '24', '36', '34', '32', '42', '26') and c_acctbal > ( select avg(c_acctbal) from customer where c_acctbal > 0.00 and substring(c_phone from 1 for 2) in ('33', '24', '36', '34', '32', '42', '26') ) and not exists ( select * from orders where o_custkey = c_custkey ) ) as custsale group by cntrycode order by cntrycode;","SELECT SUBSTR(t.c_phone FROM 1 FOR 2) AS cntrycode, COUNT(*) AS numcust, SUM(t.c_acctbal) AS totacctbal FROM (SELECT * FROM customer WHERE SUBSTR(c_phone FROM 1 FOR 2) = '33' OR (SUBSTR(c_phone FROM 1 FOR 2) = '24' OR SUBSTR(c_phone FROM 1 FOR 2) = '36') OR (SUBSTR(c_phone FROM 1 FOR 2) = '34' OR SUBSTR(c_phone FROM 1 FOR 2) = '32' OR (SUBSTR(c_phone FROM 1 FOR 2) = '42' OR SUBSTR(c_phone FROM 1 FOR 2) = '26'))) AS t INNER JOIN (SELECT AVG(c_acctbal) AS EXPR0 FROM customer WHERE c_acctbal > 0.00 AND (SUBSTR(c_phone FROM 1 FOR 2) = '33' OR (SUBSTR(c_phone FROM 1 FOR 2) = '24' OR SUBSTR(c_phone FROM 1 FOR 2) = '36') OR (SUBSTR(c_phone FROM 1 FOR 2) = '34' OR SUBSTR(c_phone FROM 1 FOR 2) = '32' OR (SUBSTR(c_phone FROM 1 FOR 2) = '42' OR SUBSTR(c_phone FROM 1 FOR 2) = '26')))) AS t1 ON t.c_acctbal > t1.EXPR0 LEFT JOIN (SELECT o_custkey, TRUE AS f0 FROM orders) AS t2 ON t.c_custkey = t2.o_custkey WHERE t2.f0 IS NULL GROUP BY SUBSTR(t.c_phone FROM 1 FOR 2) ORDER BY SUBSTR(t.c_phone FROM 1 FOR 2);",['Empty List'],"['LogicalSort', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalFilter', 'LogicalTableScan'], ['LogicalAggregate', ['LogicalProject', 'LogicalFilter', 'LogicalTableScan']]], ['LogicalProject', 'LogicalTableScan']]]]]]"
9,tpch,"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and p_size = 43 and p_type like '%NICKEL' and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'AFRICA' and ps_supplycost = ( select min(ps_supplycost) from partsupp, supplier, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'AFRICA' ) order by s_acctbal desc, n_name, s_name, p_partkey;","SELECT t328.s_acctbal, t328.s_name, t328.n_name, t328.p_partkey, t328.p_mfgr, t328.s_address, t328.s_phone, t328.s_comment FROM (SELECT t317.p_partkey, t317.p_name, t317.p_mfgr, t317.p_brand, t317.p_type, t317.p_size, t317.p_container, t317.p_retailprice, t317.p_comment, supplier43.s_suppkey, supplier43.s_name, supplier43.s_address, supplier43.s_nationkey, supplier43.s_phone, supplier43.s_acctbal, supplier43.s_comment, partsupp43.ps_partkey, partsupp43.ps_suppkey, partsupp43.ps_availqty, partsupp43.ps_supplycost, partsupp43.ps_comment, nation43.n_nationkey, nation43.n_name, nation43.n_regionkey, nation43.n_comment, t318.r_regionkey, t318.r_name, t318.r_comment, CAST(t326.ps_partkey AS INTEGER) AS ps_partkey0, CAST(t326.EXPR0 AS DECIMAL(19, 0)) AS EXPR0 FROM (SELECT * FROM part WHERE p_size = 43 AND p_type LIKE '%NICKEL') AS t317 CROSS JOIN supplier AS supplier43 INNER JOIN partsupp AS partsupp43 ON t317.p_partkey = partsupp43.ps_partkey AND supplier43.s_suppkey = partsupp43.ps_suppkey INNER JOIN nation AS nation43 ON supplier43.s_nationkey = nation43.n_nationkey INNER JOIN (SELECT * FROM region WHERE r_name = 'AFRICA') AS t318 ON nation43.n_regionkey = t318.r_regionkey INNER JOIN (SELECT t323.ps_partkey, MIN(t323.EXPR0) AS EXPR0 FROM (SELECT t321.ps_partkey, t322.n_regionkey, MIN(t321.EXPR0) AS EXPR0 FROM (SELECT t319.ps_partkey, t320.s_nationkey, MIN(t319.EXPR0) AS EXPR0 FROM (SELECT ps_partkey, ps_suppkey, MIN(ps_supplycost) AS EXPR0 FROM partsupp GROUP BY ps_partkey, ps_suppkey) AS t319 INNER JOIN (SELECT s_suppkey, s_nationkey FROM supplier GROUP BY s_suppkey, s_nationkey) AS t320 ON t319.ps_suppkey = t320.s_suppkey GROUP BY t319.ps_partkey, t320.s_nationkey) AS t321 INNER JOIN (SELECT n_nationkey, n_regionkey FROM nation GROUP BY n_nationkey, n_regionkey) AS t322 ON t321.s_nationkey = t322.n_nationkey GROUP BY t321.ps_partkey, t322.n_regionkey) AS t323 INNER JOIN (SELECT r_regionkey FROM region WHERE r_name = 'AFRICA' GROUP BY r_regionkey) AS t325 ON t323.n_regionkey = t325.r_regionkey GROUP BY t323.ps_partkey) AS t326 ON t317.p_partkey = t326.ps_partkey AND partsupp43.ps_supplycost = t326.EXPR0 ORDER BY supplier43.s_acctbal DESC, nation43.n_name, supplier43.s_name, t317.p_partkey) AS t328",['Empty List'],"['LogicalSort', ['LogicalProject', ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalFilter', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalFilter', 'LogicalTableScan']], ['LogicalAggregate', ['LogicalProject', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalFilter', 'LogicalTableScan']]]]]]]]"
