,Unnamed: 0,db_id,original_sql,rewritten_sql,activated_rules,latency_org,latency_new,original_logical_plan
0,0,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1993-01-01' and l_shipdate < date '1993-01-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1993-01-01' AND l_shipdate < (DATE '1993-01-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",11.57021016,10.54630733,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
1,1,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1993-02-01' and l_shipdate < date '1993-02-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1993-02-01' AND l_shipdate < (DATE '1993-02-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE', 'AGGREGATE_EXPAND_DISTINCT_AGGREGATES_TO_JOIN']",11.10649824,10.12112371,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
2,2,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1993-04-01' and l_shipdate < date '1993-04-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1993-04-01' AND l_shipdate < (DATE '1993-04-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",12.35770428,10.21998342,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
3,3,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1994-01-01' and l_shipdate < date '1994-01-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1994-01-01' AND l_shipdate < (DATE '1994-01-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",11.5223304,10.03134696,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
4,4,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1994-02-01' and l_shipdate < date '1994-02-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1994-02-01' AND l_shipdate < (DATE '1994-02-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",11.6213448,9.959114234,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
5,5,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1994-03-01' and l_shipdate < date '1994-03-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1994-03-01' AND l_shipdate < (DATE '1994-03-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",60.19261271,10.02611876,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
6,6,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1994-05-01' and l_shipdate < date '1994-05-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1994-05-01' AND l_shipdate < (DATE '1994-05-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",11.07336724,10.29770978,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
7,7,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1994-06-01' and l_shipdate < date '1994-06-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1994-06-01' AND l_shipdate < (DATE '1994-06-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'JOIN_PROJECT_RIGHT_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_EXPAND_DISTINCT_AGGREGATES', 'AGGREGATE_PROJECT_MERGE']",11.30287069,10.14897958,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
8,8,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1994-08-01' and l_shipdate < date '1994-08-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1994-08-01' AND l_shipdate < (DATE '1994-08-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",11.44438773,10.75047882,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
9,9,tpch,"select 100.00 * sum(case when p_type like 'PROMO%' then l_extendedprice * (1 - l_discount) else 0 end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue from lineitem, part where l_partkey = p_partkey and l_shipdate >= date '1994-09-01' and l_shipdate < date '1994-09-01' + interval '1' month;",SELECT 100.00 * SUM(CASE WHEN part.p_type LIKE 'PROMO%' THEN t.l_extendedprice * (1 - t.l_discount) ELSE 0 END) / SUM(t.l_extendedprice * (1 - t.l_discount)) AS promo_revenue FROM (SELECT * FROM lineitem WHERE l_shipdate >= DATE '1994-09-01' AND l_shipdate < (DATE '1994-09-01' + INTERVAL '1' MONTH)) AS t INNER JOIN part ON t.l_partkey = part.p_partkey,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'PROJECT_CALC_MERGE', 'PROJECT_CORRELATE_TRANSPOSE', 'CALC_MERGE', 'CALC_REMOVE', 'AGGREGATE_PROJECT_MERGE']",12.03209794,10.62355924,"['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]]]"
